repo,childSha,parentSha,childBranch,file,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev
ARMmbed/mbed-ls,6b1d39a464875a25ba381e2a195c743fb551c605,68930b297c5161c5ba175c16795e78180435edaf,master,mbed_lstools/platform_database.py,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,138,138,138,138
ARMmbed/mbed-ls,6b1d39a464875a25ba381e2a195c743fb551c605,68930b297c5161c5ba175c16795e78180435edaf,master,mbed_lstools/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
ARMmbed/mbed-ls,6b1d39a464875a25ba381e2a195c743fb551c605,68930b297c5161c5ba175c16795e78180435edaf,master,mbed_lstools/linux.py,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,74,74,83,83
ARMmbed/mbed-ls,6b1d39a464875a25ba381e2a195c743fb551c605,68930b297c5161c5ba175c16795e78180435edaf,master,mbed_lstools/main.py,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,93,93,135,135
ARMmbed/mbed-ls,68930b297c5161c5ba175c16795e78180435edaf,429d16af9bb864548782c35ea2f5434bc1343b88,master,mbed_lstools/darwin.py,12,3,0,0,6,2,0,0,0,0,0,0,0,73,91,85,79,93,80
ARMmbed/mbed-ls,68930b297c5161c5ba175c16795e78180435edaf,429d16af9bb864548782c35ea2f5434bc1343b88,master,mbed_lstools/windows.py,0,0,0,0,0,0,0,0,0,0,0,0,0,216,216,216,216,253,253
ARMmbed/mbed-ls,68930b297c5161c5ba175c16795e78180435edaf,429d16af9bb864548782c35ea2f5434bc1343b88,master,mbed_lstools/lstools_base.py,0,0,0,0,0,0,0,0,0,0,0,0,0,261,261,261,261,354,354
ARMmbed/mbed-ls,68930b297c5161c5ba175c16795e78180435edaf,429d16af9bb864548782c35ea2f5434bc1343b88,master,mbed_lstools/platform_database.py,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,138,138,138,138
ARMmbed/mbed-ls,68930b297c5161c5ba175c16795e78180435edaf,429d16af9bb864548782c35ea2f5434bc1343b88,master,mbed_lstools/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
ARMmbed/mbed-ls,68930b297c5161c5ba175c16795e78180435edaf,429d16af9bb864548782c35ea2f5434bc1343b88,master,mbed_lstools/linux.py,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,74,74,83,83
ARMmbed/mbed-ls,68930b297c5161c5ba175c16795e78180435edaf,429d16af9bb864548782c35ea2f5434bc1343b88,master,mbed_lstools/main.py,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,93,93,135,135
ARMmbed/mbed-ls,429d16af9bb864548782c35ea2f5434bc1343b88,d6ed6486ce476fa58ea18be49617af3af286a612,master,mbed_lstools/darwin.py,0,0,0,0,0,0,0,0,0,0,0,0,0,79,79,79,79,86,86
ARMmbed/mbed-ls,429d16af9bb864548782c35ea2f5434bc1343b88,d6ed6486ce476fa58ea18be49617af3af286a612,master,mbed_lstools/windows.py,0,0,0,0,0,0,0,0,0,0,0,0,0,216,216,216,216,253,253
ARMmbed/mbed-ls,429d16af9bb864548782c35ea2f5434bc1343b88,d6ed6486ce476fa58ea18be49617af3af286a612,master,mbed_lstools/lstools_base.py,0,0,0,0,0,0,0,0,0,0,0,0,0,261,261,261,261,354,354
ARMmbed/mbed-ls,429d16af9bb864548782c35ea2f5434bc1343b88,d6ed6486ce476fa58ea18be49617af3af286a612,master,mbed_lstools/platform_database.py,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,138,138,138,138
ARMmbed/mbed-ls,429d16af9bb864548782c35ea2f5434bc1343b88,d6ed6486ce476fa58ea18be49617af3af286a612,master,mbed_lstools/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
ARMmbed/mbed-ls,429d16af9bb864548782c35ea2f5434bc1343b88,d6ed6486ce476fa58ea18be49617af3af286a612,master,mbed_lstools/linux.py,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,74,74,83,83
